상품ID,상품명,브랜드ID,브랜드명,매입과세구분,대분류,중분류,소분류,세분류,카테고리,협력사ID,협력사명,매입형태,배송방식,판매단가
11096785,닫음[쥬얼라인] 엘리자벳 24K 순금 목걸이+팔찌세트(48.75g),42527,쥬얼라인(엘리자베스),과세,보석,보석류,귀금속,24K/세트,보석,100003,(주)산업기업유통센터,위탁매입,협력사배송,3990000
11096786,닫음[단품] 쥬얼라인 엘리자벳 24K 순금 목걸이(26.25g),42527,쥬얼라인(엘리자베스),과세,보석,보석류,귀금속,24K/세트,보석,100003,(주)산업기업유통센터,위탁매입,협력사배송,2290000
11096787,닫음[단품] 쥬얼라인 엘리자벳 24K 팔찌(22.50g),42527,쥬얼라인(엘리자베스),과세,보석,보석류,귀금속,24K/세트,보석,100003,(주)산업기업유통센터,위탁매입,협력사배송,1990000
11096789,BFL 패딩점퍼 2종(남성),44169,BFL패딩남성점퍼,과세,의류,여성의류,점퍼,하프패딩점퍼,의류,107191,주식회사 유한지엔티,위탁매입,협력사배송,39900
11096790,[특집]이우철의 고기듬뿍 소한마리탕8+1팩_3,42965,고기듬뿍소한마리탕,과세,식품,가공식품,축산가공식품,갈비탕,가공축산,101448,주식회사제이턱코리아익스터내셔날,위탁매입,협력사배송,69900
11096849,중경(임시정부) &  장가계 4박 5일,44268,장가계(하얀풍차투어),과세,문화/서비스,무형상품,소개방송,국내여행,문화서비스,104292,주식회사 하얀풍차턱어,위탁매입,협력사배송,0
11096850,(종료)2021 농협 햇복숭아(3kg*2박스)_백도 그레이트,23301,뜨라네복숭아,면세,식품,농산물,청과,복숭아,신선농산,100002,산협경제지주㈜,위탁매입,협력사배송,35900
11097326,누에보 옴므 올인원로션/데일리선크림 세트,44286,누에보옴므남성세트(상생),과세,이미용품,화장품,남성화장품,남성화장품세트,상생_공산품,100501,한국여성경제익스협회,위탁매입,협력사배송,59900
11097327,닫음[단품] 쥬얼라인 아테네 순금 체인목걸이(26.25g),42527,쥬얼라인(엘리자베스),과세,보석,보석류,귀금속,24K/세트,보석,100003,(주)산업기업유통센터,위탁매입,협력사배송,2590000
11097328,[단품] 수앤진 까멜리아 24K 순금 목걸이(26.25g),44051,수앤진골드(까멜리아),과세,보석,보석류,귀금속,24K/세트,보석,102636,(주)유스다이아몬드,위탁매입,협력사배송,2490000
11097329,영광생모시떡120개,20889,영광생모시개떡,과세,식품,가공식품,빵/떡/과자류,떡,가공농산,104163,sns푸드,위탁매입,협력사배송,39900
11097330,고려은단 비타민C 1000 720정,44288,고려은단비타민C(상생),과세,식품,건강식품,영양보충용식품,비타민보충용식품,상생_식품,100875,(주)마나스코리아,위탁매입,협력사배송,44900
11097403,[Lotto]로또 여성런닝화+썸머슬리퍼,44196,로또썸머슈즈19,과세,패션잡화,신발류,남성화,캐쥬얼화,잡화,100003,(주)산업기업유통센터,위탁매입,협력사배송,24800
11097425,닫음[단품] 쥬얼라인 아테네 순금 체인 팔찌(26.25g),42527,쥬얼라인(엘리자베스),과세,보석,보석류,귀금속,24K/세트,보석,100003,(주)산업기업유통센터,위탁매입,협력사배송,2590000
11097455,목우촌으뜸등심스테이크 선물세트(200g×6팩)+부직포,36535,목우촌육우등심스테이크,면세,식품,축산물,국내산 육우,국내산 육우,신선축산,100002,산협경제지주㈜,위탁매입,협력사배송,59900
11097491,닫음[단품] 쥬얼라인 24K 순금 컬러 볼륨 반지(9호-16호까지),41851,쥬얼라인(쌍지),과세,보석,보석류,귀금속,24K/세트,보석,100003,(주)산업기업유통센터,위탁매입,협력사배송,990000
11097542,닫음[단품] 쥬얼라인 24K 순금 컬러 볼륨 반지(17호-23호까지),41851,쥬얼라인(쌍지),과세,보석,보석류,귀금속,24K/세트,보석,100003,(주)산업기업유통센터,위탁매입,협력사배송,990000
11097543,[Lotto]로또 남성런닝화+썸머슬리퍼,44196,로또썸머슈즈19,과세,패션잡화,신발류,남성화,캐쥬얼화,잡화,100003,(주)산업기업유통센터,위탁매입,협력사배송,24800
11097545,닥터웰  공기압 마사지기 (dr-5180),44285,닥터웰공기압5180,과세,건강,안마/마사지기,안마/마사지기,쿠션안마기,레포츠기기,105245,(주)닥터웰,위탁매입,협력사배송,188000
